stage,description
AnubsFemfoot-3,"{actor0} lies back, his feet flat on the ground, as {actor1} kneels over him, her back to his face. She's got her feet wrapped around his shaft, giving him a footjob, while he's reciprocating by licking her vulva, his tongue teasing her slit, and simultaneously groping her butt with his hands."
AnubsFemfoot-6,"{actor0} is lying back, cuming hard as {actor1} dominates him, facing away, using her foot to vigorously work his stiffcock in a forceful and provocative footjob."
AnubsBigguySitting-1,"{actor0} is sitting with his feet on the ground, his fingers thrusting into {actor1}'s pussy as she's on all fours, facing away from him, on top of him, her body positioned to receive his intimate touch."
AnubsSwordCg-4,"{actor1} is squatting over {actor0}, who's lying back, with her feet planted firmly on the ground, facing away from him as she takes control in a dominant reverse cowgirl position. She's actively riding his cock, her vulva sliding up and down his shaft in a sensual rhythm."
AnubsWallfront-5,"{actor0} stands with his feet on the ground, his penis thrusting into {actor1}'s vulva as they engage in vaginal sex against the wall. Meanwhile, {actor0} wraps his arms around {actor1}, holding her close in a sensual hug, while {actor1} reciprocates with her own arms, embracing {actor0} in a tender, sensual squeeze."
AnubsWallside-3,"{actor0} stands with his feet shoulder-width apart, his dick buried deep in {actor1}'s pussy as she stands with her legs spread wide, her back against the wall. He's got one hand gripping her neck and the other clutching her head, holding her in place as he thrusts into her."
AnubsVamp1-4,"{actor0} is standing behind {actor1}, who is bent over and facing away from him, her feet planted firmly on the ground. He's thrusting his cock into her pussy while gripping her arm with his hand."
AnubsASt-4,"{actor0} is standing, holding {actor1}'s arm as she bends over, facing away from him, and gets into an all-fours position on the ground. He enters her from behind in a doggystyle pose, his cock thrusting into her pussy as they engage in intense vaginal sex."
AnubsBarrelMast-3,"{actor0} is squatting with her feet on the ground, furiously fingering her own pussy as she masturbates, clearly lost in her own sexual pleasure."
AnubsBigguyDoggy-4,"{actor0} is squatting with his feet on the ground, his big cock thrusting into {actor1}'s wet pussy from behind as she kneels, bending over with her back to him, her knees digging into the surface, in a classic doggystyle position, with {actor0} taking full control."
AnubsBigguyDoggy-1,"{actor0} is on his knees, kneeling behind {actor1}, who is also on her knees, facing away from him. He's pounding her from behind in doggystyle, his cock penetrating her anus while he uses his hand to rub her clit, and simultaneously grips the back of her head with his other hand."
AnubsBigguySitting-4,"{actor0} is sitting with his feet on the ground, while {actor1} is squatting over him in a cowgirl position, her vulva enveloping his penis as they engage in intense vaginal sex. At the same time, they're sharing a tender, sensual hug, with {actor1} wrapping her arms around {actor0} and pulling him close, and {actor0} reciprocating the affectionate squeeze."
AnubsHge-3,"{actor0} is kneeling beside {actor1}, who is lying back with her feet on the ground, as he inserts his fingers into her vulva, stimulating her. At the same time, {actor2} is kneeling on the other side of {actor1}, rubbing her clitoris with her hand, while both {actor0} and {actor2} hold onto {actor1}'s arms."
AnubsHypno-3,"{actor0} stands with his feet on the ground, his cock rubbing against {actor1}'s face as she kneels before him, her lips inches from his swollen shaft."
AnubsJacko-3,"{actor0} is kneeling behind {actor1}, who's on all fours with her legs spread, facing away from him. He's thrusting his cock into her pussy from behind while groping her butt with his hands."
AnubsLesbianFf-3,"{actor0} is on all fours, burying her face between {actor1}'s spread legs as she lies back, enthusiastically licking her vulva with her tongue."
AnubsLesbianWc-2,"{actor0} stands with her feet shoulder-width apart against the wall, while {actor1} kneels in front of her, her mouth pressed against {actor0}'s vulva, performing a passionate cunnilingus, her lips and mouth working together to bring {actor0} pleasure."
AnubsLustcowgirl-4,"{actor1} is kneeling over {actor0}, who's lying back, as she rides his stiff cock in a classic cowgirl position, her vulva enveloping his shaft in a sensual, sexual union, with {actor1} taking the lead in this intimate encounter."
AnubsBm-1,"{actor0} is on all fours, thrusting his cock into {actor1} who's lying back with her legs spread wide, his motion vigorous as he fucks her. At the same time, {actor1} caresses her own breasts, gently groping her boobs as she's being penetrated."
AnubsFfmm-3,"{actor0} stands tall, his cock thrusting into {actor2}'s mouth as she kneels before him, her lips wrapped around his shaft. Nearby, {actor1} stands with his pants down, his erection being stroked by {actor3}'s hand as she sits on the floor, her fingers moving up and down his length."
AnubsFfmMistress-6,"{actor0} is standing with his feet on the ground, climaxing as he masturbates himself to orgasm. At the same time, he ejaculates onto {actor2}'s face, who is kneeling in front of him, while {actor1} is also kneeling, holding {actor2}'s chin in a gentle, romantic gesture, and grasping her arm with her other hand."
AnubsFffmistress-1,"{actor0} sits on the ground with her feet planted firmly, her leg being held by {actor1}, who is kneeling beside her. {actor1} sensually kisses {actor0}'s feet, while {actor2} stands beside them, cuddling {actor0} in a gentle, sensual manner."
AnubsFfmBed2-1,"{actor0} sits on the bed with his feet on the ground, his erect cock grasped by both {actor1} and {actor2}, who sit alongside him, each stroking his shaft with their hands in a simultaneous handjob, their fingers intertwined as they work together to pleasure him."
AnubsFfmMistress-1,"{actor0} stands with his feet on the ground, holding {actor2}'s arm, while {actor1} stands beside them, romantically holding {actor2}'s chin with her hand. The three of them are locked in a tender moment, with {actor0} and {actor1} both focused on {actor2}."
AnubsFfmBed2-3,"{actor0} sits on the bed with his feet planted firmly on the ground, while {actor1} kneels beside him, locking lips in a passionate, sensual kiss. Meanwhile, {actor2} assumes a squatting position, actively riding {actor0}'s cock in a vigorous, sexual vaginalsex act."
AnubsBm-2,"{actor0} is on all fours, while {actor1} lies back with her legs spread wide, as they engage in a passionate vaginal sex act, with {actor0}'s stiff cock penetrating {actor1}'s pussy in a classic missionary position."
AnubsFfmReversal-5,"{actor0} is squatting with his feet on the ground, his cock buried in {actor2}'s ass as she lies on top of him, facing away. At the same time, {actor2} is also on top of {actor1}, who's lying on her front, facing away, in a stacked position."
AnubsFffmistress-3,"{actor0} sits with her feet on the ground, her legs spread apart, as {actor1} kneels between them, her face buried in {actor0}'s vulva, stimulating her with cunnilingus. At the same time, {actor1}'s hand is also busy, fingers inserted into {actor0}'s vagina, vaginal fingering her. Meanwhile, {actor2} stands with her feet on the ground, her lips locked in a french kiss with {actor0}, their tongues intertwined in a sensual and romantic kiss. {actor2} is also taking care of herself, rubbing her own vulva with her hand, lost in female masturbation."
AnubsFfmm-5,"{actor0} is standing, thrusting his cock into {actor2}'s pussy as she stands with her legs spread wide, while {actor1} is also standing, pounding his dick into {actor3}'s wet snatch, who's likewise standing with her legs apart. Meanwhile, {actor1} has his hand wrapped around {actor3}'s arm, and {actor3} is holding hands with {actor2} in a tender, intimate gesture."
AnubsBm-5,"{actor0} is on all fours, his feet flat on the ground, as he's climaxing. Meanwhile, {actor1} is lying on her back, her legs spread wide, with {actor0}'s dick buried deep inside her pussy as they engage in missionary-style vaginal sex. Simultaneously, {actor1}'s hand is busy fingering {actor0}'s ass, adding to the intensity of the moment."
AnubsFfmm-1,"{actor2} stands facing {actor0}, teasingly rubbing her body against his, while {actor0} stands still, being the target of her playful advances. Nearby, {actor1} and {actor3} stand watching the interaction, their attention focused on the flirtatious exchange between {actor2} and {actor0}."
AnubsFMast1-1,"{actor0} lies on her side, fingers buried deep within her own pussy as she masturbates, her body wracked with pleasure."
